disease,symptoms,context
acute lymphoblastic leukemia,"Fatigue, pale skin, frequent infections, fever, easy bruising or bleeding","acute lymphoblastic leukemia: Fatigue, pale skin, frequent infections, fever, easy bruising or bleeding"
acute myeloid leukemia,"Fatigue, pale skin, shortness of breath, easy bruising or bleeding, recurrent infections","acute myeloid leukemia: Fatigue, pale skin, shortness of breath, easy bruising or bleeding, recurrent infections"
acute respiratory distress syndrome,"Severe shortness of breath, rapid breathing, low blood oxygen levels, confusion or disorientation, rapid heart rate","acute respiratory distress syndrome: Severe shortness of breath, rapid breathing, low blood oxygen levels, confusion or disorientation, rapid heart rate"
acute sinusitis,"Nasal congestion, facial pain or pressure, headache, cough, thick yellow or green nasal discharge","acute sinusitis: Nasal congestion, facial pain or pressure, headache, cough, thick yellow or green nasal discharge"
addison's disease,"Fatigue, weight loss, darkening of the skin (hyperpigmentation), low blood pressure, salt cravings","addison's disease: Fatigue, weight loss, darkening of the skin (hyperpigmentation), low blood pressure, salt cravings"
adenomyosis,"Heavy menstrual bleeding, severe menstrual cramps, pelvic pain, bloating, pain during intercourse","adenomyosis: Heavy menstrual bleeding, severe menstrual cramps, pelvic pain, bloating, pain during intercourse"
attention deficit hyperactivity disorder,"Inattention, hyperactivity, impulsivity, difficulty organizing tasks, forgetfulness","attention deficit hyperactivity disorder: Inattention, hyperactivity, impulsivity, difficulty organizing tasks, forgetfulness"
adhesive capsulitis (frozen shoulder),"Gradual onset of shoulder pain, stiffness and limited range of motion in the shoulder joint, difficulty sleeping on the affected side, pain worsens with movement or at night","adhesive capsulitis (frozen shoulder): Gradual onset of shoulder pain, stiffness and limited range of motion in the shoulder joint, difficulty sleeping on the affected side, pain worsens with movement or at night"
adrenal cancer,"Abdominal pain or swelling, unexplained weight loss, changes in hormone levels (such as excess cortisol or androgens), fever, high blood pressure","adrenal cancer: Abdominal pain or swelling, unexplained weight loss, changes in hormone levels (such as excess cortisol or androgens), fever, high blood pressure"
adrenoleukodystrophy,"Progressive neurological symptoms such as loss of muscle control, vision loss, difficulty swallowing, seizures, adrenal gland dysfunction","adrenoleukodystrophy: Progressive neurological symptoms such as loss of muscle control, vision loss, difficulty swallowing, seizures, adrenal gland dysfunction"
age-related macular degeneration,"Blurred vision, distorted vision, difficulty recognizing faces, straight lines appearing wavy, dark or empty areas in central vision","age-related macular degeneration: Blurred vision, distorted vision, difficulty recognizing faces, straight lines appearing wavy, dark or empty areas in central vision"
agoraphobia,"Panic attacks, fear of crowded spaces, fear of open spaces, fear of leaving home alone, fear of public transportation","agoraphobia: Panic attacks, fear of crowded spaces, fear of open spaces, fear of leaving home alone, fear of public transportation"
aids (acquired immunodeficiency syndrome),"Persistent fever, night sweats, unexplained weight loss, fatigue, swollen lymph nodes","aids (acquired immunodeficiency syndrome): Persistent fever, night sweats, unexplained weight loss, fatigue, swollen lymph nodes"
albinism,"Lack of skin pigmentation, lack of hair pigmentation, lack of eye pigmentation, sensitivity to light, vision problems","albinism: Lack of skin pigmentation, lack of hair pigmentation, lack of eye pigmentation, sensitivity to light, vision problems"
alcoholic liver disease,"Jaundice, abdominal pain and swelling, nausea, vomiting, loss of appetite","alcoholic liver disease: Jaundice, abdominal pain and swelling, nausea, vomiting, loss of appetite"
alcoholism,"Craving alcohol, loss of control over drinking, withdrawal symptoms, neglecting responsibilities, continued use despite negative consequences","alcoholism: Craving alcohol, loss of control over drinking, withdrawal symptoms, neglecting responsibilities, continued use despite negative consequences"
alkaptonuria,"Darkening of urine when exposed to air, joint pain, black spots on sclera (white part of the eye), heart problems, kidney stones","alkaptonuria: Darkening of urine when exposed to air, joint pain, black spots on sclera (white part of the eye), heart problems, kidney stones"
allergic rhinitis,"Sneezing, runny or stuffy nose, itching in the nose, throat, or eyes, watery eyes, coughing","allergic rhinitis: Sneezing, runny or stuffy nose, itching in the nose, throat, or eyes, watery eyes, coughing"
allergies,"Itchy or watery eyes, sneezing, rash, hives, swelling (of face, lips, tongue, or throat)","allergies: Itchy or watery eyes, sneezing, rash, hives, swelling (of face, lips, tongue, or throat)"
alopecia areata,"Patchy hair loss, sudden hair loss, hair loss on scalp or other body parts, round bald spots, nails with pits or ridges","alopecia areata: Patchy hair loss, sudden hair loss, hair loss on scalp or other body parts, round bald spots, nails with pits or ridges"
alpha-1 antitrypsin deficiency,"Shortness of breath, wheezing, recurrent respiratory infections, fatigue, rapid heartbeat","alpha-1 antitrypsin deficiency: Shortness of breath, wheezing, recurrent respiratory infections, fatigue, rapid heartbeat"
alport syndrome,"Blood in urine, protein in urine, swelling in ankles, legs, feet, or abdomen, high blood pressure, hearing loss","alport syndrome: Blood in urine, protein in urine, swelling in ankles, legs, feet, or abdomen, high blood pressure, hearing loss"
alzheimer's disease,"Memory loss, difficulty in planning or solving problems, confusion with time or place, trouble understanding visual images, withdrawal from work or social activities","alzheimer's disease: Memory loss, difficulty in planning or solving problems, confusion with time or place, trouble understanding visual images, withdrawal from work or social activities"
amaurosis fugax,"Temporary vision loss in one eye, sudden blindness, loss of peripheral vision, curtain-like vision, flashing lights","amaurosis fugax: Temporary vision loss in one eye, sudden blindness, loss of peripheral vision, curtain-like vision, flashing lights"
amblyopia (lazy eye),"Reduced vision in one eye, misaligned eyes (strabismus), poor depth perception, difficulty judging distances, squinting","amblyopia (lazy eye): Reduced vision in one eye, misaligned eyes (strabismus), poor depth perception, difficulty judging distances, squinting"
amebiasis,"Diarrhea (which may contain blood), abdominal pain, cramping, fatigue, weight loss","amebiasis: Diarrhea (which may contain blood), abdominal pain, cramping, fatigue, weight loss"
amelogenesis imperfecta,"Abnormal tooth enamel (yellow, brown, or grey discoloration), increased risk of tooth decay, sensitivity to hot and cold, thin enamel, misshapen teeth","amelogenesis imperfecta: Abnormal tooth enamel (yellow, brown, or grey discoloration), increased risk of tooth decay, sensitivity to hot and cold, thin enamel, misshapen teeth"
amenorrhea,"Absence of menstrual periods, missed periods, difficulty getting pregnant, milky discharge from breasts, excessive facial hair growth","amenorrhea: Absence of menstrual periods, missed periods, difficulty getting pregnant, milky discharge from breasts, excessive facial hair growth"
amoebiasis,"Abdominal pain, diarrhea (which may contain blood or mucus), fever, weight loss, fatigue","amoebiasis: Abdominal pain, diarrhea (which may contain blood or mucus), fever, weight loss, fatigue"
amyloidosis,"Fatigue, weakness, weight loss, swelling (of ankles, legs, or abdomen), difficulty swallowing or breathing","amyloidosis: Fatigue, weakness, weight loss, swelling (of ankles, legs, or abdomen), difficulty swallowing or breathing"
amyotrophic lateral sclerosis,"Muscle weakness, muscle twitching (fasciculations), difficulty speaking, difficulty swallowing, muscle cramps","amyotrophic lateral sclerosis: Muscle weakness, muscle twitching (fasciculations), difficulty speaking, difficulty swallowing, muscle cramps"
anal abscess,"Pain or swelling around the anus, fever, tenderness, redness, discharge of pus","anal abscess: Pain or swelling around the anus, fever, tenderness, redness, discharge of pus"
anal cancer,"Anal bleeding or rectal bleeding, pain or pressure in the anal area, changes in bowel habits, itching or discharge around the anus, lumps or masses near the anus","anal cancer: Anal bleeding or rectal bleeding, pain or pressure in the anal area, changes in bowel habits, itching or discharge around the anus, lumps or masses near the anus"
anal fissure,"Pain during bowel movements, blood in stool, itching around the anus, anal spasms, visible tear or crack in the skin near the anus","anal fissure: Pain during bowel movements, blood in stool, itching around the anus, anal spasms, visible tear or crack in the skin near the anus"
anal fistula,"Pain, swelling, or tenderness around the anus, recurrent anal abscesses, discharge of pus or blood, itching, skin irritation","anal fistula: Pain, swelling, or tenderness around the anus, recurrent anal abscesses, discharge of pus or blood, itching, skin irritation"
anaphylaxis,"Skin reactions (hives, itching, flushed or pale skin), difficulty breathing, swelling of the face or throat, rapid pulse, nausea or vomiting","anaphylaxis: Skin reactions (hives, itching, flushed or pale skin), difficulty breathing, swelling of the face or throat, rapid pulse, nausea or vomiting"
anemia,"Fatigue, weakness, pale or yellowish skin, shortness of breath, dizziness or lightheadedness","anemia: Fatigue, weakness, pale or yellowish skin, shortness of breath, dizziness or lightheadedness"
angelman syndrome,"Developmental delays, intellectual disability, speech impairment, seizures, balance and movement problems","angelman syndrome: Developmental delays, intellectual disability, speech impairment, seizures, balance and movement problems"
angina,"Chest pain or discomfort, pain or discomfort in the arms, neck, jaw, shoulder, or back, shortness of breath, nausea or fatigue","angina: Chest pain or discomfort, pain or discomfort in the arms, neck, jaw, shoulder, or back, shortness of breath, nausea or fatigue"
angina pectoris,"Chest pain, pressure, or discomfort, pain radiating to the neck, arms, shoulders, or back, shortness of breath, sweating","angina pectoris: Chest pain, pressure, or discomfort, pain radiating to the neck, arms, shoulders, or back, shortness of breath, sweating"
ankylosing spondylitis,"Stiffness and pain in the lower back and hips, fatigue, neck pain, limited range of motion, pain and swelling in other joints","ankylosing spondylitis: Stiffness and pain in the lower back and hips, fatigue, neck pain, limited range of motion, pain and swelling in other joints"
anorexia nervosa,"Extreme weight loss, refusal to maintain a healthy body weight, fear of gaining weight, distorted body image, amenorrhea (loss of menstrual periods)","anorexia nervosa: Extreme weight loss, refusal to maintain a healthy body weight, fear of gaining weight, distorted body image, amenorrhea (loss of menstrual periods)"
anosmia (loss of smell),"Loss of smell (partial or complete), reduced ability to taste flavors, difficulty detecting odors, difficulty enjoying food","anosmia (loss of smell): Loss of smell (partial or complete), reduced ability to taste flavors, difficulty detecting odors, difficulty enjoying food"
antiphospholipid syndrome,"Blood clots (thrombosis), recurrent miscarriages, low platelet count (thrombocytopenia), livedo reticularis (lacy-looking rash), neurological symptoms","antiphospholipid syndrome: Blood clots (thrombosis), recurrent miscarriages, low platelet count (thrombocytopenia), livedo reticularis (lacy-looking rash), neurological symptoms"
anxiety disorders,"Excessive worry or fear, restlessness, irritability, muscle tension, difficulty concentrating","anxiety disorders: Excessive worry or fear, restlessness, irritability, muscle tension, difficulty concentrating"
aortic aneurysm,"Abdominal or back pain, pulsating sensation in the abdomen, chest pain, shortness of breath, dizziness or fainting","aortic aneurysm: Abdominal or back pain, pulsating sensation in the abdomen, chest pain, shortness of breath, dizziness or fainting"
aortic dissection,"Sudden, severe chest or back pain, shortness of breath, weakness or paralysis, difficulty speaking, loss of consciousness","aortic dissection: Sudden, severe chest or back pain, shortness of breath, weakness or paralysis, difficulty speaking, loss of consciousness"
aplastic anemia,"Fatigue, weakness, shortness of breath, pale skin, frequent infections","aplastic anemia: Fatigue, weakness, shortness of breath, pale skin, frequent infections"
appendicitis,"Abdominal pain (usually starting around the belly button and moving to the lower right abdomen), loss of appetite, nausea, vomiting, low-grade fever","appendicitis: Abdominal pain (usually starting around the belly button and moving to the lower right abdomen), loss of appetite, nausea, vomiting, low-grade fever"
arnold-chiari malformation,"Headaches, neck pain, balance problems, dizziness or vertigo, muscle weakness or numbness","arnold-chiari malformation: Headaches, neck pain, balance problems, dizziness or vertigo, muscle weakness or numbness"
arrhythmia,"Palpitations (rapid, slow, or irregular heartbeat), chest pain, dizziness or lightheadedness, fainting, shortness of breath","arrhythmia: Palpitations (rapid, slow, or irregular heartbeat), chest pain, dizziness or lightheadedness, fainting, shortness of breath"
arterial embolism,"Sudden onset of severe pain, coldness, or numbness in affected limb, pale or bluish skin, absent or weak pulse, paralysis","arterial embolism: Sudden onset of severe pain, coldness, or numbness in affected limb, pale or bluish skin, absent or weak pulse, paralysis"
arteriosclerosis,"Hardening or thickening of the arteries, chest pain or angina, leg pain or cramping, shortness of breath, weakness or confusion","arteriosclerosis: Hardening or thickening of the arteries, chest pain or angina, leg pain or cramping, shortness of breath, weakness or confusion"
arteriovenous malformation,"Seizures, headaches, weakness or numbness, problems with vision or speech, bleeding (if rupture occurs)","arteriovenous malformation: Seizures, headaches, weakness or numbness, problems with vision or speech, bleeding (if rupture occurs)"
arthritis,"Joint pain, stiffness, swelling, redness, decreased range of motion","arthritis: Joint pain, stiffness, swelling, redness, decreased range of motion"
asbestosis,"Shortness of breath, persistent dry cough, chest tightness or pain, clubbing of fingers or toes, nail abnormalities","asbestosis: Shortness of breath, persistent dry cough, chest tightness or pain, clubbing of fingers or toes, nail abnormalities"
ascariasis,"Abdominal pain or discomfort, nausea or vomiting, diarrhea, visible worms in stool, malnutrition","ascariasis: Abdominal pain or discomfort, nausea or vomiting, diarrhea, visible worms in stool, malnutrition"
ascites,"Abdominal swelling or distension, weight gain, discomfort or pain in the abdomen, difficulty breathing, reduced appetite","ascites: Abdominal swelling or distension, weight gain, discomfort or pain in the abdomen, difficulty breathing, reduced appetite"
aseptic meningitis,"Headache, fever, stiff neck, sensitivity to light (photophobia), nausea or vomiting","aseptic meningitis: Headache, fever, stiff neck, sensitivity to light (photophobia), nausea or vomiting"
aspergerãâs syndrome,"Difficulty with social interactions, repetitive behaviors or interests, trouble with nonverbal communication, narrow range of interests, sensitivity to sensory stimuli","aspergerãâs syndrome: Difficulty with social interactions, repetitive behaviors or interests, trouble with nonverbal communication, narrow range of interests, sensitivity to sensory stimuli"
aspergillosis,"Fever, cough (sometimes with blood), chest pain, shortness of breath, sinus congestion or headache","aspergillosis: Fever, cough (sometimes with blood), chest pain, shortness of breath, sinus congestion or headache"
asthma,"Wheezing, shortness of breath, chest tightness, coughing, especially at night or early morning","asthma: Wheezing, shortness of breath, chest tightness, coughing, especially at night or early morning"
astigmatism,"Blurred or distorted vision, eyestrain, headaches, difficulty seeing at night, squinting","astigmatism: Blurred or distorted vision, eyestrain, headaches, difficulty seeing at night, squinting"
ataxia telangiectasia,"Lack of coordination (ataxia), involuntary movements, progressive difficulty with speech, weakened immune system, enlarged blood vessels on the skin (telangiectasias)","ataxia telangiectasia: Lack of coordination (ataxia), involuntary movements, progressive difficulty with speech, weakened immune system, enlarged blood vessels on the skin (telangiectasias)"
atherosclerosis,"Chest pain or angina, leg pain or cramping, numbness or weakness in extremities, difficulty walking, erectile dysfunction","atherosclerosis: Chest pain or angina, leg pain or cramping, numbness or weakness in extremities, difficulty walking, erectile dysfunction"
atonic seizures,"Sudden loss of muscle tone, causing the person to collapse, often without warning, possible brief loss of consciousness, falling or dropping items being held, no convulsions","atonic seizures: Sudden loss of muscle tone, causing the person to collapse, often without warning, possible brief loss of consciousness, falling or dropping items being held, no convulsions"
atopic dermatitis (eczema),"Dry, itchy skin, red or inflamed patches, small raised bumps, thickened or cracked skin, sensitive skin","atopic dermatitis (eczema): Dry, itchy skin, red or inflamed patches, small raised bumps, thickened or cracked skin, sensitive skin"
atrial fibrillation,"Irregular or rapid heartbeat, palpitations (fluttering sensation in the chest), fatigue, dizziness or fainting, chest pain or pressure","atrial fibrillation: Irregular or rapid heartbeat, palpitations (fluttering sensation in the chest), fatigue, dizziness or fainting, chest pain or pressure"
atrophic gastritis,"Stomach pain or discomfort, nausea, vomiting, bloating, loss of appetite","atrophic gastritis: Stomach pain or discomfort, nausea, vomiting, bloating, loss of appetite"
attention deficit disorder (add),"Inattention, forgetfulness, disorganization, difficulty following instructions, easily distracted","attention deficit disorder (add): Inattention, forgetfulness, disorganization, difficulty following instructions, easily distracted"
atypical absence seizures,"Brief loss of awareness, staring spells, subtle body movements, confusion after the episode, fatigue","atypical absence seizures: Brief loss of awareness, staring spells, subtle body movements, confusion after the episode, fatigue"
atypical hemolytic uremic syndrome,"Fatigue, pale skin, decreased urine output, blood in urine (hematuria), abdominal pain, vomiting, diarrhea, confusion","atypical hemolytic uremic syndrome: Fatigue, pale skin, decreased urine output, blood in urine (hematuria), abdominal pain, vomiting, diarrhea, confusion"
autism spectrum disorder (asd),"Difficulty with social interactions, repetitive behaviors, delayed speech and language development, restricted interests, sensory sensitivities","autism spectrum disorder (asd): Difficulty with social interactions, repetitive behaviors, delayed speech and language development, restricted interests, sensory sensitivities"
autoimmune hepatitis,"Fatigue, jaundice (yellowing of the skin and eyes), abdominal discomfort, joint pain, nausea, loss of appetite","autoimmune hepatitis: Fatigue, jaundice (yellowing of the skin and eyes), abdominal discomfort, joint pain, nausea, loss of appetite"
autoimmune pancreatitis,"Abdominal pain, jaundice, weight loss, diarrhea, nausea, vomiting, oily stools, diabetes","autoimmune pancreatitis: Abdominal pain, jaundice, weight loss, diarrhea, nausea, vomiting, oily stools, diabetes"
autoimmune polyendocrine syndrome,"Fatigue, weight loss, muscle weakness, abdominal pain, nausea, vomiting, diarrhea, changes in appetite, hypoglycemia","autoimmune polyendocrine syndrome: Fatigue, weight loss, muscle weakness, abdominal pain, nausea, vomiting, diarrhea, changes in appetite, hypoglycemia"
autoimmune thyroid disease,"Fatigue, weight changes, sensitivity to cold or heat, dry skin, hair loss, muscle weakness, depression, constipation","autoimmune thyroid disease: Fatigue, weight changes, sensitivity to cold or heat, dry skin, hair loss, muscle weakness, depression, constipation"
autonomic dysreflexia,"High blood pressure, pounding headache, sweating, flushing, goosebumps, slow pulse, anxiety","autonomic dysreflexia: High blood pressure, pounding headache, sweating, flushing, goosebumps, slow pulse, anxiety"
avian influenza (bird flu),"Fever, cough, sore throat, muscle aches, headache, difficulty breathing, pneumonia, diarrhea, vomiting","avian influenza (bird flu): Fever, cough, sore throat, muscle aches, headache, difficulty breathing, pneumonia, diarrhea, vomiting"
babesiosis,"Fever, chills, sweats, fatigue, muscle aches, headache, nausea, vomiting, dark urine, anemia","babesiosis: Fever, chills, sweats, fatigue, muscle aches, headache, nausea, vomiting, dark urine, anemia"
back pain,"Dull, aching pain, sharp or stabbing pain, stiffness, limited range of motion, radiating pain, muscle weakness, numbness or tingling","back pain: Dull, aching pain, sharp or stabbing pain, stiffness, limited range of motion, radiating pain, muscle weakness, numbness or tingling"
bacterial infection,"Fever, chills, fatigue, muscle aches, cough, sore throat, nasal congestion, diarrhea, vomiting, skin redness or swelling","bacterial infection: Fever, chills, fatigue, muscle aches, cough, sore throat, nasal congestion, diarrhea, vomiting, skin redness or swelling"
bacterial vaginosis,"Vaginal discharge (white or gray), fishy odor, itching or burning sensation, vaginal irritation, pain during intercourse","bacterial vaginosis: Vaginal discharge (white or gray), fishy odor, itching or burning sensation, vaginal irritation, pain during intercourse"
balanitis,"Redness, swelling, and pain around the head of the penis, discharge, itching, difficulty retracting foreskin","balanitis: Redness, swelling, and pain around the head of the penis, discharge, itching, difficulty retracting foreskin"
bardet-biedl syndrome,"Vision problems, obesity, extra fingers or toes, intellectual disability, kidney abnormalities, hypogonadism","bardet-biedl syndrome: Vision problems, obesity, extra fingers or toes, intellectual disability, kidney abnormalities, hypogonadism"
barotrauma,"Ear pain or pressure, hearing loss, dizziness or vertigo, nosebleeds, facial pain or swelling, ruptured eardrum","barotrauma: Ear pain or pressure, hearing loss, dizziness or vertigo, nosebleeds, facial pain or swelling, ruptured eardrum"
barrett's esophagus,"Heartburn, chest pain, difficulty swallowing, regurgitation, coughing, hoarseness, unexplained weight loss","barrett's esophagus: Heartburn, chest pain, difficulty swallowing, regurgitation, coughing, hoarseness, unexplained weight loss"
bartholinitis,"Pain, swelling, and redness in the vaginal area, difficulty walking or sitting, fever, discharge from the vagina","bartholinitis: Pain, swelling, and redness in the vaginal area, difficulty walking or sitting, fever, discharge from the vagina"
basal cell carcinoma,"Pearly or waxy bump, flat flesh-colored or brown scar-like lesion, bleeding or oozing sore, shiny pink or red patch, raised pink growth","basal cell carcinoma: Pearly or waxy bump, flat flesh-colored or brown scar-like lesion, bleeding or oozing sore, shiny pink or red patch, raised pink growth"
basilar artery migraine,"Severe headache, dizziness or vertigo, visual disturbances, difficulty speaking, weakness or numbness on one side of the body","basilar artery migraine: Severe headache, dizziness or vertigo, visual disturbances, difficulty speaking, weakness or numbness on one side of the body"
batten disease,"Vision loss, seizures, progressive intellectual and motor decline, dementia, personality changes, loss of motor skills","batten disease: Vision loss, seizures, progressive intellectual and motor decline, dementia, personality changes, loss of motor skills"
becker muscular dystrophy,"Progressive muscle weakness, muscle wasting, difficulty walking, calf enlargement, scoliosis, heart problems","becker muscular dystrophy: Progressive muscle weakness, muscle wasting, difficulty walking, calf enlargement, scoliosis, heart problems"
bedwetting (nocturnal enuresis),"Involuntary urination during sleep in children over the age of 5, bedwetting more than twice a week, embarrassment or distress","bedwetting (nocturnal enuresis): Involuntary urination during sleep in children over the age of 5, bedwetting more than twice a week, embarrassment or distress"
behãâet's disease,"Mouth sores, genital sores, skin lesions, eye inflammation, joint pain and swelling, gastrointestinal symptoms","behãâet's disease: Mouth sores, genital sores, skin lesions, eye inflammation, joint pain and swelling, gastrointestinal symptoms"
bell's palsy,"Sudden weakness or paralysis on one side of the face, drooping of the mouth or eyelid, difficulty closing one eye, drooling, altered taste sensation","bell's palsy: Sudden weakness or paralysis on one side of the face, drooping of the mouth or eyelid, difficulty closing one eye, drooling, altered taste sensation"
benign prostatic hypertrophy (bph),"Frequent urination, difficulty starting urination, weak urine stream, dribbling at the end of urination, urinary retention","benign prostatic hypertrophy (bph): Frequent urination, difficulty starting urination, weak urine stream, dribbling at the end of urination, urinary retention"
beriberi,"Fatigue, weakness, difficulty walking, muscle pain, loss of appetite, confusion, swelling (edema), heart problems","beriberi: Fatigue, weakness, difficulty walking, muscle pain, loss of appetite, confusion, swelling (edema), heart problems"
bernard-soulier syndrome,"Easy bruising or bleeding, frequent nosebleeds, bleeding gums, heavy menstrual periods, blood in stool or urine","bernard-soulier syndrome: Easy bruising or bleeding, frequent nosebleeds, bleeding gums, heavy menstrual periods, blood in stool or urine"
biliary atresia,"Jaundice (yellowing of the skin and eyes), dark urine, pale stools, enlarged liver or spleen, failure to thrive","biliary atresia: Jaundice (yellowing of the skin and eyes), dark urine, pale stools, enlarged liver or spleen, failure to thrive"
biliary dyskinesia,"Abdominal pain (usually in the right upper quadrant), nausea, vomiting, bloating, indigestion, belching","biliary dyskinesia: Abdominal pain (usually in the right upper quadrant), nausea, vomiting, bloating, indigestion, belching"
binge eating disorder,"Eating large amounts of food in a short period, feeling out of control during binge episodes, guilt or shame afterwards, eating when not hungry, hoarding food","binge eating disorder: Eating large amounts of food in a short period, feeling out of control during binge episodes, guilt or shame afterwards, eating when not hungry, hoarding food"
bipolar disorder,"Episodes of mania (elevated mood, increased energy, risky behavior) and depression (sadness, fatigue, changes in sleep or appetite), mood swings, irritability, impulsivity","bipolar disorder: Episodes of mania (elevated mood, increased energy, risky behavior) and depression (sadness, fatigue, changes in sleep or appetite), mood swings, irritability, impulsivity"
bites and stings,"Pain, redness, swelling, itching, rash, warmth at the site of the bite or sting, nausea, vomiting, difficulty breathing","bites and stings: Pain, redness, swelling, itching, rash, warmth at the site of the bite or sting, nausea, vomiting, difficulty breathing"
bladder cancer,"Blood in urine, frequent urination, pain or burning during urination, lower back pain, urinary urgency","bladder cancer: Blood in urine, frequent urination, pain or burning during urination, lower back pain, urinary urgency"
bladder diverticulum,"Frequent urinary tract infections, blood in urine, difficulty emptying the bladder completely, abdominal pain, urinary incontinence","bladder diverticulum: Frequent urinary tract infections, blood in urine, difficulty emptying the bladder completely, abdominal pain, urinary incontinence"
bladder infection,"Frequent urination, pain or burning during urination, cloudy or bloody urine, lower abdominal pain, fever","bladder infection: Frequent urination, pain or burning during urination, cloudy or bloody urine, lower abdominal pain, fever"
blastomycosis,"Fever, cough, chest pain, muscle aches, fatigue, weight loss, night sweats, skin lesions","blastomycosis: Fever, cough, chest pain, muscle aches, fatigue, weight loss, night sweats, skin lesions"
bleeding disorder,"Excessive or prolonged bleeding, easy bruising, frequent nosebleeds, heavy menstrual periods, blood in stool or urine","bleeding disorder: Excessive or prolonged bleeding, easy bruising, frequent nosebleeds, heavy menstrual periods, blood in stool or urine"
blepharitis,"Red, swollen, and itchy eyelids, crusty or oily eyelashes, burning or stinging sensation, sensitivity to light, tearing","blepharitis: Red, swollen, and itchy eyelids, crusty or oily eyelashes, burning or stinging sensation, sensitivity to light, tearing"
blepharospasm,"Involuntary blinking or spasms of the eyelids, sensitivity to light, dry eyes, blurred vision, facial twitching","blepharospasm: Involuntary blinking or spasms of the eyelids, sensitivity to light, dry eyes, blurred vision, facial twitching"
blindness,"Complete or partial loss of vision, blurry vision, light perception only, difficulty seeing at night, tunnel vision","blindness: Complete or partial loss of vision, blurry vision, light perception only, difficulty seeing at night, tunnel vision"
blood clots,"Swelling, warmth, or redness in a limb, pain or tenderness, difficulty breathing, chest pain, coughing up blood","blood clots: Swelling, warmth, or redness in a limb, pain or tenderness, difficulty breathing, chest pain, coughing up blood"
body dysmorphic disorder (bdd),"Preoccupation with perceived flaws in physical appearance, excessive grooming or exercise, avoidance of social situations, frequent mirror checking, seeking reassurance about appearance","body dysmorphic disorder (bdd): Preoccupation with perceived flaws in physical appearance, excessive grooming or exercise, avoidance of social situations, frequent mirror checking, seeking reassurance about appearance"
boils (furuncles),"Painful, red lumps filled with pus, swelling, warmth, tenderness, fever","boils (furuncles): Painful, red lumps filled with pus, swelling, warmth, tenderness, fever"
bone cancer,"Bone pain (persistent or worsening), swelling and tenderness near the affected area, fractures with minimal trauma, fatigue, unintentional weight loss","bone cancer: Bone pain (persistent or worsening), swelling and tenderness near the affected area, fractures with minimal trauma, fatigue, unintentional weight loss"
borderline personality disorder (bpd),"Fear of abandonment, unstable relationships, mood swings, impulsivity, distorted self-image, self-harming behavior","borderline personality disorder (bpd): Fear of abandonment, unstable relationships, mood swings, impulsivity, distorted self-image, self-harming behavior"
botulism,"Muscle weakness, double vision, difficulty swallowing or speaking, dry mouth, nausea, vomiting, paralysis","botulism: Muscle weakness, double vision, difficulty swallowing or speaking, dry mouth, nausea, vomiting, paralysis"
